X,Y,OBJECTID,DD_MM_YYY,TIME,LOCATION,DEPTH,MAG,EVALMODE,TYPE,MAG_100,GM_CODE,GM_NAAM,WATER,OAD,STED,BEV_DICHTH
742723.642908280016854,7047070.303827259689569,1,16-8-2012 0:00:00,6:43,Huizinge,3,3.600000000000000,manual,ind,360,GM0024,Loppersum,NEE,208,5,89
524648.760227250051685,6918701.485097889788449,2,9-9-2001 0:00:00,12:28,Bergen,2,3.500000000000000,manual,ind,350,GM0373,Bergen (NH.),NEE,796,4,307
745506.630180809996091,7048002.689962039701641,3,8-8-2006 0:00:00,1:12,Westeremden,3,3.500000000000000,manual,ind,350,GM0024,Loppersum,NEE,208,5,89
783466.576577760046348,6951982.726347399875522,4,19-2-1997 0:00:00,19:26,Roswinkel,2,3.400000000000000,manual,ind,340,GM0114,Emmen,NEE,846,4,321
785136.368941289954819,6952166.98523448035121,5,14-7-1998 0:00:00,5:31,Roswinkel,2,3.300000000000000,manual,ind,330,GM0114,Emmen,NEE,846,4,321
524092.16277276998153,6919986.039758539758623,6,21-9-1994 0:00:00,3:07,Bergen,2,3.200000000000000,manual,ind,320,GM0373,Bergen (NH.),NEE,796,4,307
785025.049450390040874,6951982.726347260177135,7,25-10-2000 0:00:00,18:57,Roswinkel,2,3.200000000000000,manual,ind,320,GM0114,Emmen,NEE,846,4,321
524537.440736360033043,6919068.479728939943016,8,10-9-2001 0:00:00,10:19,Bergen,2,3.200000000000000,manual,ind,320,GM0373,Bergen (NH.),NEE,796,4,307
748066.978471520007588,7045578.713411159813404,9,30-10-2008 0:00:00,1:55,Loppersum,3,3.200000000000000,manual,ind,320,GM0024,Loppersum,NEE,208,5,89
755525.384361859993078,7039242.573597709648311,10,27-6-2011 0:00:00,17:02,Garrelsweer,3,3.200000000000000,manual,ind,320,GM0024,Loppersum,NEE,208,5,89
742167.045453820028342,7055279.057819300331175,11,7-2-2013 0:00:00,23:16,Zandeweer,3,3.200000000000000,manual,ind,320,GM1651,Eemsmond,NEE,359,5,83
760757.400434160022996,7026399.427770020440221,12,30-9-2015 0:00:00,4:48,Hellum,3,3.100000000000000,manual,ind,310,GM0040,Slochteren,NEE,221,5,110
524426.121245460002683,6919251.983339860104024,13,6-8-1994 0:00:00,4:48,Bergen,2,3.000000000000000,manual,ind,300,GM0373,Bergen (NH.),NEE,796,4,307
756081.981816360028461,7037752.450428269803524,14,24-10-2003 0:00:00,3:50,Garrelsweer,3,3.000000000000000,manual,ind,300,GM0024,Loppersum,NEE,208,5,89
744727.393744479981251,7043341.852296049706638,15,10-11-2003 0:00:00,0:43,Stedum,3,3.000000000000000,manual,ind,300,GM0024,Loppersum,NEE,208,5,89
752742.397089379956014,7048748.677611660212278,16,8-5-2009 0:00:00,22:48,Zeerijp,3,3.000000000000000,manual,ind,300,GM0024,Loppersum,NEE,208,5,89
755302.745380050037056,7037566.2046561203897,17,2-7-2013 0:00:00,12:00,Garrelsweer,3,3.000000000000000,manual,ind,300,GM0024,Loppersum,NEE,208,5,89
754968.786907400004566,7049308.214293099939823,18,13-2-2014 0:00:00,7:40,Het Zandt,3,3.000000000000000,manual,ind,300,GM0024,Loppersum,NEE,208,5,89
784245.81301408004947,6952166.985234569758177,19,5-2-1994 0:00:00,19:12,Roswinkel,2,2.900000000000000,manual,ind,290,GM0114,Emmen,NEE,846,4,321
743391.559853720013052,7052479.666367909871042,20,5-11-2014 0:00:00,11:02,Zandeweer,3,2.900000000000000,manual,ind,290,GM1651,Eemsmond,NEE,359,5,83
728920.026035989983939,6981518.274810840375721,21,26-12-1986 0:00:00,0:00,Assen,1,2.800000000000000,manual,ind,280,GM0106,Assen,NEE,1538,2,825
