OBJECTID	DD_MM_YYY	TIME	LOCATION	LAT	LON	DEPTH	MAG	EVALMODE	TYPE
1	16-8-2012 0:00:00	6:43	Huizinge	53.344999999999999	6.672000000000000	3	3.600000000000000	manual	ind
2	9-9-2001 0:00:00	12:28	Bergen	52.651000000000003	4.713000000000000	2	3.500000000000000	manual	ind
3	8-8-2006 0:00:00	1:12	Westeremden	53.350000000000001	6.697000000000000	3	3.500000000000000	manual	ind
4	19-2-1997 0:00:00	19:26	Roswinkel	52.832000000000001	7.038000000000000	2	3.400000000000000	manual	ind
5	14-7-1998 0:00:00	5:31	Roswinkel	52.832999999999998	7.053000000000000	2	3.300000000000000	manual	ind
6	21-9-1994 0:00:00	3:07	Bergen	52.658000000000001	4.708000000000000	2	3.200000000000000	manual	ind
7	25-10-2000 0:00:00	18:57	Roswinkel	52.832000000000001	7.052000000000000	2	3.200000000000000	manual	ind
8	10-9-2001 0:00:00	10:19	Bergen	52.652999999999999	4.712000000000000	2	3.200000000000000	manual	ind
9	30-10-2008 0:00:00	1:55	Loppersum	53.337000000000003	6.720000000000000	3	3.200000000000000	manual	ind
10	27-6-2011 0:00:00	17:02	Garrelsweer	53.302999999999997	6.787000000000000	3	3.200000000000000	manual	ind
11	7-2-2013 0:00:00	23:16	Zandeweer	53.389000000000003	6.667000000000000	3	3.200000000000000	manual	ind
12	30-9-2015 0:00:00	4:48	Hellum	53.234000000000002	6.834000000000000	3	3.100000000000000	manual	ind
13	6-8-1994 0:00:00	4:48	Bergen	52.654000000000003	4.711000000000000	2	3.000000000000000	manual	ind
14	24-10-2003 0:00:00	3:50	Garrelsweer	53.295000000000002	6.792000000000000	3	3.000000000000000	manual	ind
15	10-11-2003 0:00:00	0:43	Stedum	53.325000000000003	6.690000000000000	3	3.000000000000000	manual	ind
16	8-5-2009 0:00:00	22:48	Zeerijp	53.353999999999999	6.762000000000000	3	3.000000000000000	manual	ind
17	2-7-2013 0:00:00	12:00	Garrelsweer	53.293999999999997	6.785000000000000	3	3.000000000000000	manual	ind
18	13-2-2014 0:00:00	7:40	Het Zandt	53.356999999999999	6.782000000000000	3	3.000000000000000	manual	ind
19	5-2-1994 0:00:00	19:12	Roswinkel	52.832999999999998	7.045000000000000	2	2.900000000000000	manual	ind
20	5-11-2014 0:00:00	11:02	Zandeweer	53.374000000000002	6.678000000000000	3	2.900000000000000	manual	ind
21	26-12-1986 0:00:00	0:00	Assen	52.991999999999997	6.548000000000000	1	2.800000000000000	manual	ind
22	31-12-1999 0:00:00	7:55	Roswinkel	52.835000000000001	7.048000000000000	2	2.800000000000000	manual	ind
23	21-6-2004 0:00:00	18:14	Geelbroek	52.944000000000003	6.568000000000000	3	2.800000000000000	manual	ind
24	26-11-2009 0:00:00	0:43	De Hoeve	52.892000000000003	6.113000000000000	3	2.800000000000000	manual	ind
25	4-9-2013 0:00:00	4:04	Zeerijp	53.344000000000001	6.772000000000000	3	2.800000000000000	manual	ind
26	30-9-2014 0:00:00	9:50	Garmerwolde	53.258000000000003	6.655000000000000	3	2.800000000000000	manual	ind
27	30-12-2014 0:00:00	15:50	Scharmer	53.207999999999998	6.728000000000000	3	2.800000000000000	manual	ind
28	1-12-1989 0:00:00	19:12	Kwadijk	52.529000000000003	4.971000000000000	1	2.700000000000000	manual	ind
29	8-8-1991 0:00:00	5:16	Assen	52.965000000000003	6.573000000000000	3	2.700000000000000	manual	ind
30	11-6-1992 0:00:00	0:00	Roswinkel	52.831000000000003	7.032000000000000	2	2.700000000000000	manual	ind
31	1-7-1994 0:00:00	14:38	Onderdendam	53.323999999999998	6.613000000000000	3	2.700000000000000	manual	ind
32	30-7-1994 0:00:00	18:43	Toornwerd	53.350999999999999	6.628000000000000	1	2.700000000000000	manual	ind
33	20-6-1995 0:00:00	2:52	Roswinkel	52.832000000000001	7.030000000000000	2	2.700000000000000	manual	ind
34	28-12-1996 0:00:00	13:55	Roswinkel	52.834000000000003	7.043000000000000	2	2.700000000000000	manual	ind
35	28-1-1998 0:00:00	20:09	Roswinkel	52.832999999999998	7.042000000000000	2	2.700000000000000	manual	ind
36	10-10-2001 0:00:00	8:38	Schoorl	52.682000000000002	4.648000000000000	3	2.700000000000000	manual	ind
37	27-9-2003 0:00:00	3:36	Westeremden	53.347999999999999	6.697000000000000	3	2.700000000000000	manual	ind
38	16-11-2003 0:00:00	11:31	Westeremden	53.344000000000001	6.702000000000000	3	2.700000000000000	manual	ind
39	7-2-2013 0:00:00	9:07	Zandeweer	53.375000000000000	6.667000000000000	3	2.700000000000000	manual	ind
40	9-2-2013 0:00:00	1:12	Zeerijp	53.366000000000000	6.758000000000000	3	2.700000000000000	manual	ind
41	6-1-2015 0:00:00	4:48	Wirdum	53.323999999999998	6.768000000000000	3	2.700000000000000	manual	ind
42	25-4-1991 0:00:00	13:55	Eleveld	52.951999999999998	6.575000000000000	3	2.600000000000000	manual	ind
43	23-5-1992 0:00:00	10:19	Geelbroek	52.953000000000003	6.572000000000000	3	2.600000000000000	manual	ind
44	22-7-1992 0:00:00	4:48	Assen	52.960999999999999	6.570000000000000	3	2.600000000000000	manual	ind
45	12-3-1996 0:00:00	4:04	Roswinkel	52.838000000000001	7.059000000000000	2	2.600000000000000	manual	ind
46	15-2-1998 0:00:00	10:04	Zeerijp	53.356000000000002	6.773000000000000	3	2.600000000000000	manual	ind
47	10-1-2006 0:00:00	3:21	Eleveld	52.956000000000003	6.572000000000000	3	2.600000000000000	manual	ind
48	17-2-2007 0:00:00	0:14	Harkstede	53.226999999999997	6.703000000000000	3	2.600000000000000	manual	ind
49	14-4-2009 0:00:00	21:07	Huizinge	53.344999999999999	6.680000000000000	3	2.600000000000000	manual	ind
50	16-4-2009 0:00:00	21:50	Appingedam	53.313000000000002	6.845000000000000	3	2.600000000000000	manual	ind
51	1-9-2014 0:00:00	21:50	Froombosch	53.194000000000003	6.787000000000000	3	2.600000000000000	manual	ind
52	27-5-2017 0:00:00	14:24	Slochteren	53.210999999999999	6.834000000000000	3	2.600000000000000	manual	ind
53	14-12-1987 0:00:00	0:00	Hooghalen	52.927999999999997	6.552000000000000	2	2.500000000000000	manual	ind
54	12-6-2000 0:00:00	0:14	Loppersum	53.340000000000003	6.742000000000000	3	2.500000000000000	manual	ind
55	15-6-2000 0:00:00	22:48	Steendam	53.280000000000001	6.847000000000000	3	2.500000000000000	manual	ind
56	12-10-2005 0:00:00	12:43	Smilde	52.963000000000001	6.450000000000000	3	2.500000000000000	manual	ind
57	8-8-2006 0:00:00	9:07	Westeremden	53.348999999999997	6.707000000000000	3	2.500000000000000	manual	ind
58	2-4-2008 0:00:00	4:33	Ekehaar	52.947000000000003	6.595000000000000	3	2.500000000000000	manual	ind
59	10-7-2008 0:00:00	21:36	Holwierde	53.350000000000001	6.882000000000000	3	2.500000000000000	manual	ind
60	7-5-2010 0:00:00	18:43	Waddenzee (nabij Usquert)	53.491000000000000	6.617000000000000	3	2.500000000000000	manual	ind
61	14-8-2010 0:00:00	6:00	Uithuizen	53.402999999999999	6.703000000000000	3	2.500000000000000	manual	ind
62	31-8-2011 0:00:00	3:50	Uithuizen	53.444000000000003	6.687000000000000	3	2.500000000000000	manual	ind
63	6-9-2011 0:00:00	23:31	Leermens	53.337000000000003	6.805000000000000	3	2.500000000000000	manual	ind
64	22-10-2013 0:00:00	6:43	Noordzee (nabij Castricum)	52.551000000000002	4.588000000000000	3	2.500000000000000	manual	ind
65	5-12-1991 0:00:00	0:00	Middelstum	53.357999999999997	6.657000000000000	3	2.400000000000000	manual	ind
66	16-1-1997 0:00:00	9:21	Roswinkel	52.835000000000001	7.046000000000000	2	2.400000000000000	manual	ind
67	24-8-1998 0:00:00	0:00	Wirdum	53.298000000000002	6.810000000000000	3	2.400000000000000	manual	ind
68	28-4-2001 0:00:00	21:07	Roswinkel	52.832999999999998	7.053000000000000	2	2.400000000000000	manual	ind
69	22-9-2003 0:00:00	12:00	Uithuizen	53.395000000000003	6.688000000000000	3	2.400000000000000	manual	ind
70	21-3-2006 0:00:00	16:48	Garrelsweer	53.302000000000000	6.755000000000000	3	2.400000000000000	manual	ind
71	31-3-2010 0:00:00	18:28	Froombosch	53.189999999999998	6.777000000000000	3	2.400000000000000	manual	ind
72	19-1-2011 0:00:00	15:50	Westerwijtwerd	53.319000000000003	6.645000000000000	3	2.400000000000000	manual	ind
73	15-8-2012 0:00:00	11:45	Leermens	53.353000000000002	6.805000000000000	3	2.400000000000000	manual	ind
74	19-1-2013 0:00:00	11:31	Overschild	53.284999999999997	6.790000000000000	3	2.400000000000000	manual	ind
75	20-7-2013 0:00:00	6:00	Wirdum	53.323000000000000	6.803000000000000	3	2.400000000000000	manual	ind
76	9-11-2013 0:00:00	12:57	Annen	53.052000000000000	6.755000000000000	3	2.400000000000000	manual	ind
77	25-2-2016 0:00:00	21:21	Froombosch	53.183999999999997	6.781000000000000	3	2.400000000000000	manual	ind
78	23-12-2016 0:00:00	12:00	Zuidlaren	53.082999999999998	6.712000000000000	3	2.400000000000000	manual	ind
79	16-8-1994 0:00:00	20:24	Anloo	53.061000000000000	6.698000000000000	3	2.300000000000000	manual	ind
80	24-12-1995 0:00:00	3:50	Jisp	52.511000000000003	4.847000000000000	3	2.300000000000000	manual	ind
81	16-6-2003 0:00:00	2:52	Ravenswoud	52.963000000000001	6.407000000000000	3	2.300000000000000	manual	ind
82	8-2-2005 0:00:00	20:38	Middelstum	53.316000000000003	6.638000000000000	3	2.300000000000000	manual	ind
83	30-5-2005 0:00:00	20:52	Westeremden	53.343000000000004	6.710000000000000	3	2.300000000000000	manual	ind
84	26-8-2006 0:00:00	13:26	Westeremden	53.343000000000004	6.712000000000000	3	2.300000000000000	manual	ind
85	23-10-2006 0:00:00	20:09	Garsthuizen	53.372000000000000	6.738000000000000	3	2.300000000000000	manual	ind
86	26-1-2007 0:00:00	2:24	Zeerijp	53.351999999999997	6.755000000000000	3	2.300000000000000	manual	ind
87	26-8-2008 0:00:00	15:36	Geelbroek	52.948999999999998	6.565000000000000	3	2.300000000000000	manual	ind
88	4-12-2009 0:00:00	3:21	Ten Post	53.283999999999999	6.743000000000000	3	2.300000000000000	manual	ind
89	3-5-2010 0:00:00	1:40	Godlinze	53.387000000000000	6.810000000000000	3	2.300000000000000	manual	ind
90	11-3-2014 0:00:00	9:21	Schildwolde	53.228000000000002	6.822000000000000	3	2.300000000000000	manual	ind
91	25-2-2015 0:00:00	22:04	Appingedam	53.323000000000000	6.857000000000000	3	2.300000000000000	manual	ind
92	24-3-2015 0:00:00	18:00	Appingedam	53.322000000000003	6.855000000000000	3	2.300000000000000	manual	ind
93	23-6-2015 0:00:00	14:24	Anna Paulowna	52.853000000000002	4.807000000000000	3	2.300000000000000	manual	ind
94	30-9-2015 0:00:00	9:36	Emmen	52.777999999999999	6.880000000000000	3	2.300000000000000	manual	ind
95	30-10-2015 0:00:00	2:24	Meedhuizen	53.284999999999997	6.920000000000000	3	2.300000000000000	manual	ind
96	15-2-1991 0:00:00	12:57	Emmen	52.771000000000001	6.914000000000000	3	2.200000000000000	manual	ind
97	23-11-1993 0:00:00	16:19	Slochteren	53.201999999999998	6.820000000000000	3	2.200000000000000	manual	ind
98	17-11-1996 0:00:00	1:12	Wachtum	52.723999999999997	6.732000000000000	3	2.200000000000000	manual	ind
99	22-9-2000 0:00:00	9:36	Nieuw Annerveen	53.082000000000001	6.793000000000000	3	2.200000000000000	manual	ind
100	5-2-2002 0:00:00	17:45	Stedum	53.319000000000003	6.717000000000000	3	2.200000000000000	manual	ind
101	3-3-2003 0:00:00	21:21	Middelstum	53.359999999999999	6.662000000000000	3	2.200000000000000	manual	ind
102	5-8-2005 0:00:00	0:28	Sappemeer	53.170000000000002	6.810000000000000	3	2.200000000000000	manual	ind
103	23-3-2006 0:00:00	21:50	Overschild	53.283000000000001	6.778000000000000	3	2.200000000000000	manual	ind
104	18-5-2008 0:00:00	3:21	Garsthuizen	53.375000000000000	6.728000000000000	3	2.200000000000000	manual	ind
105	7-11-2008 0:00:00	6:28	Garsthuizen	53.381000000000000	6.735000000000000	3	2.200000000000000	manual	ind
106	1-2-2009 0:00:00	3:50	Zeerijp	53.359999999999999	6.740000000000000	3	2.200000000000000	manual	ind
107	30-12-2011 0:00:00	16:33	Middelstum	53.351999999999997	6.657000000000000	3	2.200000000000000	manual	ind
108	1-11-2016 0:00:00	0:00	Wirdum	53.305999999999997	6.809000000000000	3	2.200000000000000	manual	ind
109	2-9-1996 0:00:00	22:04	Roden	53.146999999999998	6.422000000000000	3	2.100000000000000	manual	ind
110	18-8-1997 0:00:00	6:00	Roswinkel	52.834000000000003	7.050000000000000	2	2.100000000000000	manual	ind
111	13-1-1999 0:00:00	0:43	Het Zandt	53.359000000000002	6.777000000000000	3	2.100000000000000	manual	ind
112	14-2-2002 0:00:00	17:45	Roswinkel	52.831000000000003	7.035000000000000	2	2.100000000000000	manual	ind
113	10-6-2004 0:00:00	17:16	Zandeweer	53.390999999999998	6.663000000000000	3	2.100000000000000	manual	ind
114	25-3-2006 0:00:00	3:21	Roswinkel	52.834000000000003	7.045000000000000	2	2.100000000000000	manual	ind
115	9-6-2007 0:00:00	15:07	Zeerijp	53.353000000000002	6.747000000000000	3	2.100000000000000	manual	ind
116	30-9-2007 0:00:00	15:07	Froombosch	53.194000000000003	6.788000000000000	3	2.100000000000000	manual	ind
117	16-8-2013 0:00:00	22:19	Lageland	53.244000000000000	6.697000000000000	3	2.100000000000000	manual	ind
118	18-3-2014 0:00:00	6:00	Rottum	53.390000000000001	6.618000000000000	3	2.100000000000000	manual	ind
119	2-7-2014 0:00:00	16:04	Slochteren	53.213999999999999	6.790000000000000	3	2.100000000000000	manual	ind
120	7-7-2015 0:00:00	19:12	Zuidwolde	53.262000000000000	6.631000000000000	3	2.100000000000000	manual	ind
121	2-9-2016 0:00:00	21:36	Schildwolde	53.218000000000004	6.844000000000000	3	2.100000000000000	manual	ind
122	11-3-2017 0:00:00	0:00	Zeerijp	53.350000000000001	6.761000000000000	3	2.100000000000000	manual	ind
123	22-9-1993 0:00:00	19:40	Eppenhuizen	53.368000000000002	6.675000000000000	3	2.000000000000000	manual	ind
124	19-7-1994 0:00:00	16:04	Garsthuizen	53.372000000000000	6.743000000000000	3	2.000000000000000	manual	ind
125	31-1-1995 0:00:00	14:52	Annen	53.063000000000002	6.720000000000000	3	2.000000000000000	manual	ind
126	6-4-1995 0:00:00	10:48	Huizinge	53.359999999999999	6.680000000000000	3	2.000000000000000	manual	ind
127	29-2-1996 0:00:00	10:04	Middelstum	53.343000000000004	6.640000000000000	3	2.000000000000000	manual	ind
128	28-1-1998 0:00:00	8:52	Roswinkel	52.832999999999998	7.037000000000000	2	2.000000000000000	manual	ind
129	12-12-1998 0:00:00	12:28	Zandeweer	53.392000000000003	6.698000000000000	3	2.000000000000000	manual	ind
130	11-6-2000 0:00:00	3:07	Zeerijp	53.347999999999999	6.763000000000000	3	2.000000000000000	manual	ind
131	2-2-2003 0:00:00	16:33	Ekehaar	52.950000000000003	6.588000000000000	3	2.000000000000000	manual	ind
132	10-3-2005 0:00:00	18:43	Oosterwijtwerd	53.341999999999999	6.810000000000000	3	2.000000000000000	manual	ind
133	14-5-2007 0:00:00	0:28	Westeremden	53.331000000000003	6.702000000000000	3	2.000000000000000	manual	ind
134	27-10-2007 0:00:00	10:48	Loppersum	53.332999999999998	6.748000000000000	3	2.000000000000000	manual	ind
135	5-8-2008 0:00:00	3:21	Emmen	52.761000000000003	6.908000000000000	3	2.000000000000000	manual	ind
136	9-6-2010 0:00:00	11:02	Froombosch	53.182000000000002	6.775000000000000	3	2.000000000000000	manual	ind
137	28-3-2011 0:00:00	15:36	Sappemeer	53.167999999999999	6.805000000000000	3	2.000000000000000	manual	ind
138	25-9-2011 0:00:00	6:43	Zeerijp	53.363000000000000	6.728000000000000	3	2.000000000000000	manual	ind
139	25-4-2012 0:00:00	13:12	Sappemeer	53.177999999999997	6.818000000000000	3	2.000000000000000	manual	ind
140	11-2-2013 0:00:00	3:36	Garrelsweer	53.296999999999997	6.783000000000000	3	2.000000000000000	manual	ind
141	15-2-2013 0:00:00	12:43	Wirdum	53.319000000000003	6.795000000000000	3	2.000000000000000	manual	ind
142	16-3-2013 0:00:00	18:14	Waddenzee (nabij Eemshaven)	53.473999999999997	6.792000000000000	3	2.000000000000000	manual	ind
143	26-11-2013 0:00:00	2:09	Appingedam	53.326999999999998	6.845000000000000	3	2.000000000000000	manual	ind
144	5-2-2014 0:00:00	20:52	Assen	52.960000000000001	6.568000000000000	3	2.000000000000000	manual	ind
